descr|cat
чистящее средство mr.proper 750 мл|9
outback jack berton vineyar в ассортименте австралия 0,75 л, цена/ цена кратная 6 бутылкам|8
горбуша натуральная, вкусные консервы, 245 г|3
овощи, весовые, 1 кг: фасоль стручковая капуста цветная брокколи|4
вино la chauviere, в ассортименте, полусладкое, 0,75 л|8
корм сухой для кошек whiskas, для стерилизованных кошек, в ассортименте, 350 г|9
пюре heinz, фруктовое, в ассортименте, 90 г|9
паста зубная blend- a- med, в ассортименте, 100 мл|9
карамель в ассортименте, lenco, 25 г|7
средства для купания bubchen 400 мл|9
корм для кошек вискас, в ассортименте, 85 г|9
напиток аквалайн, в ассортименте, 0,5 л|9
viura lagunilla белое сухое вино испания, риоха 0,75 л, цена/ цена кратная 2 бутылкам|8
сыр сметанковый, нарезка, ласкова весница, 50%, 150 г|1
ребрышки свиные мираторг деликатесные, охлажденные, весовые, 1 кг|0
вермишель анаком, в ассортименте, 60 г. 2+ 1. цена указана за 1 шт. при покупке 3 шт. одновременно|5
текстиль кухонный, хлопок, в ассортименте|9
коньяк старый кенигсберг 4 года 0,7 л|8
вино игристое шато тамань, белое, брют, 0,75 л|8
технический спрей wd- 40 200 мл, цена при покупке кратно 2 шт|9
набор dove promises, в ассортименте, 118 г|7
коньяк courvoisier vsop п/ у 0,7 л|8
йогурт danone, в ассортименте, 2,9%, 110 г|1
вино игристое легенда крыма, белое, полусладкое, 0,75 л|8
сардельки папа может мясные, весовые, 1 кг|0
суп yelli 250 г, цена при покупке кратно 2 шт|5
набор черный жемчуг, очарование, 1 шт.|9
пиво koff, светлое, 0,44- 0,45 л, россия|8
